PEPSICO, INC.  131584302 -- BusinessCode: 311400 -- NY : PURCHASE
                    + SILCHESTER INTERNATIONAL INVESTORS  C
                    + STATE STREET MIDCAP INDEX FUND  C
           = SUBTOTAL       $  6,055,050,000
           = OTHER          $              0
  [Pension] PEPSICO EMPLOYEES RETIREMENT PLAN A [131584302-102]
    2022  [codes: 1A3H3J1I]    https://efast2-filings-public.s3.amazonaws.com/prd/2023/10/2/20231002151947NAL0010784579001.pdf
        Participants: 0
        Service Providers:
           - FIDELITY INSTI ASSET MGMT : $611,766   (Investment management fees paid directly by plan)
           - NISA : $167,103   (Investment management fees paid directly by plan)
           - NORTHERN TRUST COMPANY : $160,687   (Trustee(bank, trust company, or similar) | Recordkeeper)
           - STATE STREET : $158,766   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - MERCER : $158,563   (Actuarial)
           - MFS INSTITUTIONAL ADVISORS : $157,744   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - MARATHON ASSET MANAGEMENT : $134,238   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - DODGE AND COX : $109,978   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - ALTRINSIC GLOBAL ADVISORS : $90,196   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - JP MORGAN INVESTMENT MANAGEMENT : $90,180   (Investment management fees paid directly by plan)
           - CAMBRIDGE ADVISORY GROUP : $81,896   (Actuarial)
           - PEPSICO, INC. : $81,030  EMPLOYER (Plan Administrator)
           - WILLIAM BLAIR & CO : $76,423   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - LOOMIS SAYLES : $76,312   (Investment management fees paid directly by plan)
           - JENNISON ASSOCIATES : $73,017   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - WELLINGTON MANAGEMENT CO LLP : $66,519   (Investment management fees paid directly by plan)
           - TIMES SQUARE CAPITAL MANAGEMENT LLC : $63,348   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - JP MORGAN CHASE BANK : $57,420   (Trustee(bank, trust company, or similar))
           - PGIM, INC. : $56,665   (Investment management fees paid directly by plan)
           - BLACKROCK INSTITUTIONAL ADVISORS : $49,774   (Investment management fees paid directly by plan)
           - ARIEL CAPITAL : $34,319   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - RUSSELL IMPLEMENTATION SERVICES : $23,977   (Investment management | Securities brokerage commissions and fees)
           - PRUDENTIAL BANK & TRUST COMPANY : $21,678   (Investment management)
           - DIMENSIONAL FUND ADVISORS : $20,994   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - JAMESTOWN PREMIER PROPERTY FUND : $20,075   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - VONTOBEL USA INC : $19,721   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - HEALTH AND PRODUCTIVITY CONSULTING, : $16,908   (Consulting(general))
           - TOWERS WATSON INVESTMENT SERVICES : $16,718   (Consulting(pension))
           - KPMG, LLP : $15,528   (Accounting(including auditing))
           - WILLIS TOWERS WATSON : $13,436   (Actuarial)
           - PAYDEN & RYGEL : $10,822   (Investment management fees paid directly by plan)
           - PUGH CAPITAL MGMT INC : $8,957   (Investment management fees paid directly by plan)
           - COMMITTEE ON INVESTMENT OF EMPLOYEE : $5,995   (Consulting(general))
           - METROPOLITAN LIFE INSURANCE : $5,641   (Insurance services)
           = TOTAL FEES: $2,756,394
        Available Investments:
           - PEPSICO, INC.
                 : PEPSICO, INC. DB MASTER TRUST  [412205169-120] M  $0
                    + BLACKROCK EMERGING MRKTS INDEX FUND  C
                    + BLACKROCK EQUITY INDEX FUND  C
                    + MFO BLACKROCK MSCI ACWI ESG FOCUS  C
                    + DFA U.S. MICRO CAP TRUST  C
                    + CF JPMCB GLOBAL EMERGING MKTS DISCO  C
                    + JPMCB STATEGIC PROPERTY FUND  P
                        + 1-3 YEAR GOVERNMENT CREDIT BOND IND  C
                        + BLACKROCK EAFE EQUITY INDEX FD  C
                        + BLACKROCK MSCI EMERGING MARKETS FD  C
                        + BLACKROCK R1000 GROWTH FUND  C
                        + BLACKROCK R1000 VALUE INDEX FUND  C
                        + BLACKROCK R2000 EQUITY INDEX FUND  C
                        + BLACKROCK US DEBT INCOME FUND  C
                        + INTERMEDIATE GOVERNMENT BOND INDEX  C
                        + INTERMEDIATE TERM CREDIT BOND INDEX  C
                        + LONG TERM CREDIT BOND INDEX FUND  C
                        + LONG TERM GOVERNMENT BOND INDEX FD  C
                        + MSCI EQ INDEX FD - JAPAN  C
                        + SHORT-TERM INVESTMENT FUND  C
                        + GQG PARTNERS INTL EQUITY FUND  C
                        + JPM US ACTIVE CORE PLUS EQUITY FUND  C
                        + JPMC CORE BOND FUND  C
                        + JPMC LONG DURATION CREDIT FUND  C
                        + JPMC LIQUIDITY FUND  C
                        + JPMC MORTGAGE PRIVATE FUND  C
                        + JPMCB INTERNATIONAL RATES FUND  C
                    + MARATHON-LONDON INTERNATIONAL FUND  C
                    + NTGI COLTV GOVT STIF  C
                    + PRISA  P
                    + SILCHESTER INTERNATIONAL INV INTL V  C
                    + STATE STREET MIDCAP INDEX FUND  C
                 : PR PEPSICO, INC. RETIRE PLANS TRUST  [660758419-122] M  $0
                    + BLACKROCK EMERGING MRKTS INDEX FUND  C
                    + BLACKROCK EQUITY INDEX FUND  C
                    + MFO BLACKROCK MSCI ACWI ESG FOCUS  C
                    + DFA U.S. MICRO CAP TRUST  C
                    + CF JPMCB GLOBAL EMERGING MKTS DISCO  C
                    + JPMCB STRATEGIC PROPERTY FUND  P
                        + 1-3 YEAR GOVERNMENT CREDIT BOND IND  C
                        + BLACKROCK EAFE EQUITY INDEX FD  C
                        + BLACKROCK MSCI EMERGING MARKETS FD  C
                        + BLACKROCK R1000 GROWTH FUND  C
                        + BLACKROCK R1000 VALUE INDEX FUND  C
                        + BLACKROCK R2000 EQUITY INDEX FUND  C
                        + BLACKROCK US DEBT INCOME FUND  C
                        + INTERMEDIATE GOVERNMENT BOND INDEX  C
                        + INTERMEDIATE TERM CREDIT BOND INDEX  C
                        + LONG TERM CREDIT BOND INDEX FUND  C
                        + LONG TERM GOVERNMENT BOND INDEX FD  C
                        + MSCI EQ INDEX FD - JAPAN  C
                        + SHORT-TERM INVESTMENT FUND  C
                        + GQG PARTNERS INTL EQUITY FUND  C
                        + JPM US ACTIVE CORE PLUS EQUITY FUND  C
                        + JPMC CORE BOND FUND  C
                        + JPMC LONG DURATION CREDIT FUND  C
                        + JPMC LIQUIDITY FUND  C
                        + JPMC MORTGAGE PRIVATE FUND  C
                        + JPMCB INTERNATIONAL RATES FUND  C
                    + MARATHON-LONDON INTERNATIONAL FUND  C
                    + NTGI COLTV GOVT STIF  C
                    + PRISA  P
                    + SILCHESTER INTERNATIONAL INVESTORS  C
                    + STATE STREET MIDCAP INDEX FUND  C
    2021    https://efast2-filings-public.s3.amazonaws.com/prd/2022/10/3/20221003163237NAL0012952064001.pdf
        Participants: 7,390  Average: $372,635
        Assets: $2,753,775,000
        Service Providers:
           - FIDELITY INSTI ASSET MGMT : $3,033,301   (Investment management fees paid directly by plan)
           - STATE STREET : $1,000,168   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - MARATHON ASSET MANAGEMENT : $982,148   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - MERCER : $931,857   (Actuarial)
           - ALTRINSIC GLOBAL ADVISORS : $782,096   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - TIMES SQUARE CAPITAL MANAGEMENT LLC : $760,424   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - MFS INSTITUTIONAL ADVISORS : $723,888   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - JENNISON ASSOCIATES : $564,934   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - NISA : $535,114   (Investment management fees paid directly by plan)
           - JP MORGAN INVESTMENT MANAGEMENT : $440,741   (Investment management fees paid directly by plan)
           - CAMBRIDGE ADVISORY GROUP : $414,524   (Actuarial)
           - BLACKROCK INSTITUTIONAL ADVISORS : $329,458   (Investment management fees paid directly by plan)
           - DODGE AND COX : $318,744   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - PEPSICO, INC. : $240,767  EMPLOYER (Plan Administrator)
           - ARIEL CAPITAL : $210,643   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - WELLINGTON MANAGEMENT CO LLP : $199,305   (Investment management fees paid directly by plan)
           - VONTOBEL USA INC : $177,407   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - PGIM, INC. : $164,171   (Investment management fees paid directly by plan)
           - WILLIAM BLAIR & CO : $163,399   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - NORTHERN TRUST COMPANY : $152,593   (Trustee(bank, trust company, or similar) | Recordkeeper)
           - DIMENSIONAL FUND ADVISORS : $116,346   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - JAMESTOWN PREMIER PROPERTY FUND : $100,735   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - PRUDENTIAL BANK & TRUST COMPANY : $96,966   (Investment management)
           - TOWERS WATSON INVESTMENT SERVICES : $89,387   (Consulting(pension))
           - HEITMAN : $86,142   (Investment management fees paid directly by plan)
           - RUSSELL IMPLEMENTATION SERVICES : $85,074   (Investment management | Securities brokerage commissions and fees)
           - HEALTH AND PRODUCTIVITY CONSULTING, : $76,753   (Consulting(general))
           - LOOMIS SAYLES : $69,036   (Investment management fees paid directly by plan)
           - JP MORGAN CHASE BANK : $66,473   (Trustee(bank, trust company, or similar))
           - KPMG, LLP : $55,444   (Accounting(including auditing))
           - ACOSTA & RAMIREZ : $28,263   (Legal)
           - KILPATRICK & STOCKTON : $27,937   (Legal)
           - BANCO POPULAR : $14,666   (Recordkeeper | Trustee(bank, trust company, or similar))
           - JOHN HANCOCK MUTUAL LIFE INS CO : $14,654   (Insurance services)
           - METROPOLITAN LIFE INSURANCE : $9,180   (Insurance services)
           - COMMITTEE ON INVESTMENT OF EMPLOYEE : $5,995   (Consulting(general))
           - THOMPSON COBURN LLP : $5,256   (Legal)
           = TOTAL FEES: $13,073,989 (or $1,769 per partipant)
        Available Investments:
           - PEPSICO, INC.
                 : PEPSICO, INC. DB MASTER TRUST  [412205169-120] M  $2,634,733,000
                    + BLACKROCK EMERGING MRKTS INDEX FUND  C
                    + BLACKROCK EQUITY INDEX FUND  C
                    + MFO BLACKROCK MSCI ACWI ESG FOCUS  C
                    + DFA U.S. MICRO CAP TRUST  C
                    + CF JPMCB GLOBAL EMERGING MKTS DISCO  C
                    + JPMCB STATEGIC PROPERTY FUND  P
                        + 1-3 YEAR GOVERNMENT CREDIT BOND IND  C
                        + BLACKROCK EAFE EQUITY INDEX FD  C
                        + BLACKROCK MSCI EMERGING MARKETS FD  C
                        + BLACKROCK R1000 GROWTH FUND  C
                        + BLACKROCK R1000 VALUE INDEX FUND  C
                        + BLACKROCK R2000 EQUITY INDEX FUND  C
                        + BLACKROCK US DEBT INCOME FUND  C
                        + INTERMEDIATE GOVERNMENT BOND INDEX  C
                        + INTERMEDIATE TERM CREDIT BOND INDEX  C
                        + LONG TERM CREDIT BOND INDEX FUND  C
                        + LONG TERM GOVERNMENT BOND INDEX FD  C
                        + MSCI EQ INDEX FD - JAPAN  C
                        + SHORT-TERM INVESTMENT FUND  C
                        + GQG PARTNERS INTL EQUITY FUND  C
                        + JPM US ACTIVE CORE PLUS EQUITY FUND  C
                        + JPMC CORE BOND FUND  C
                        + JPMC LONG DURATION CREDIT FUND  C
                        + JPMC LIQUIDITY FUND  C
                        + JPMC MORTGAGE PRIVATE FUND  C
                        + JPMCB INTERNATIONAL RATES FUND  C
                    + MARATHON-LONDON INTERNATIONAL FUND  C
                    + NTGI COLTV GOVT STIF  C
                    + PRISA  P
                    + SILCHESTER INTERNATIONAL INV INTL V  C
                    + STATE STREET MIDCAP INDEX FUND  C
                 : PR PEPSICO, INC. RETIRE PLANS TRUST  [660758419-122] M  $42,000
                    + BLACKROCK EMERGING MRKTS INDEX FUND  C
                    + BLACKROCK EQUITY INDEX FUND  C
                    + MFO BLACKROCK MSCI ACWI ESG FOCUS  C
                    + DFA U.S. MICRO CAP TRUST  C
                    + CF JPMCB GLOBAL EMERGING MKTS DISCO  C
                    + JPMCB STRATEGIC PROPERTY FUND  P
                        + 1-3 YEAR GOVERNMENT CREDIT BOND IND  C
                        + BLACKROCK EAFE EQUITY INDEX FD  C
                        + BLACKROCK MSCI EMERGING MARKETS FD  C
                        + BLACKROCK R1000 GROWTH FUND  C
                        + BLACKROCK R1000 VALUE INDEX FUND  C
                        + BLACKROCK R2000 EQUITY INDEX FUND  C
                        + BLACKROCK US DEBT INCOME FUND  C
                        + INTERMEDIATE GOVERNMENT BOND INDEX  C
                        + INTERMEDIATE TERM CREDIT BOND INDEX  C
                        + LONG TERM CREDIT BOND INDEX FUND  C
                        + LONG TERM GOVERNMENT BOND INDEX FD  C
                        + MSCI EQ INDEX FD - JAPAN  C
                        + SHORT-TERM INVESTMENT FUND  C
                        + GQG PARTNERS INTL EQUITY FUND  C
                        + JPM US ACTIVE CORE PLUS EQUITY FUND  C
                        + JPMC CORE BOND FUND  C
                        + JPMC LONG DURATION CREDIT FUND  C
                        + JPMC LIQUIDITY FUND  C
                        + JPMC MORTGAGE PRIVATE FUND  C
                        + JPMCB INTERNATIONAL RATES FUND  C
                    + MARATHON-LONDON INTERNATIONAL FUND  C
                    + NTGI COLTV GOVT STIF  C
                    + PRISA  P
                    + SILCHESTER INTERNATIONAL INVESTORS  C
                    + STATE STREET MIDCAP INDEX FUND  C
           = SUBTOTAL       $  2,634,775,000
           = OTHER          $    119,000,000
    2020    https://efast2-filings-public.s3.amazonaws.com/prd/2021/10/14/20211014082913NAL0020844465001.pdf
        Participants: 97,568  Average: $99,070
        Assets: $9,666,156,000
        Service Providers:
           - FIDELITY INSTI ASSET MGMT : $5,685,663   (Investment management fees paid directly by plan)
           - FIDELITY INSTITUTIONAL OPERATIONS : $2,833,948   (Plan Administrator)
           - MARATHON ASSET MANAGEMENT : $2,273,174   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - MFS INSTITUTIONAL ADVISORS : $2,184,860   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - ALTRINSIC GLOBAL ADVISORS : $1,867,475   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - MERCER : $1,649,628   (Actuarial)
           - STATE STREET : $1,379,007   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - JENNISON ASSOCIATES : $1,376,922   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - NORTHERN TRUST COMPANY : $1,365,838   (Trustee(bank, trust company, or similar) | Recordkeeper)
           - WILLIAM BLAIR & CO : $1,345,253   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - NISA : $1,286,431   (Investment management fees paid directly by plan)
           - TIMES SQUARE CAPITAL MANAGEMENT LLC : $1,172,936   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - CAMBRIDGE ADVISORY GROUP : $1,036,569   (Actuarial)
           - BLACKROCK INSTITUTIONAL ADVISORS : $967,587   (Investment management fees paid directly by plan)
           - JP MORGAN CHASE BANK : $783,061   (Investment management fees paid directly by plan)
           - DODGE AND COX : $725,959   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - WELLINGTON MANAGEMENT CO LLP : $534,511   (Investment management fees paid directly by plan)
           - PGIM, INC. : $473,893   (Investment management fees paid directly by plan)
           - VONTOBEL USA INC : $466,549   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - PEPSICO, INC. : $458,617  EMPLOYER (Plan Administrator)
           - ARIEL CAPITAL : $413,337   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - TOWERS WATSON INVESTMENT SERVICES : $353,316   (Consulting(pension))
           - HEITMAN : $350,579   (Investment management fees paid directly by plan)
           - DIMENSIONAL FUND ADVISORS : $341,293   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - JAMESTOWN PREMIER PROPERTY FUND : $277,457   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - PRUDENTIAL BANK & TRUST COMPANY : $252,195   (Investment management)
           - RUSSELL IMPLEMENTATION SERVICES : $250,171   (Investment management | Securities brokerage commissions and fees)
           - LOOMIS SAYLES : $240,123   (Investment management fees paid directly by plan)
           - HEALTH AND PRODUCTIVITY CONSULTING, : $207,314   (Consulting(general))
           - CAPITAL GUARDIAN TRUST COMPANY : $187,100   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - KPMG, LLP : $137,489   (Accounting(including auditing))
           - KILPATRICK & STOCKTON : $78,526   (Legal)
           - METROPOLITAN LIFE INSURANCE : $69,924   (Insurance services)
           - THOMPSON COBURN LLP : $49,564   (Legal)
           - ACOSTA & RAMIREZ : $40,883   (Legal)
           - JOHN HANCOCK MUTUAL LIFE INS CO : $37,044   (Insurance services)
           - PRICE WATERHOUSECOOPERS LLP : $23,625   (Accounting(including auditing))
           - BANCO POPULAR : $16,975   (Recordkeeper | Trustee(bank, trust company, or similar))
           = TOTAL FEES: $33,194,796 (or $340 per partipant)
        Available Investments:
           - PEPSICO, INC.
                 : PEPSICO, INC. DB MASTER TRUST  [412205169-120] M  $9,131,751,000
                    + BLACKROCK EAFE EQUITY INDEX  C
                    + BLACKROCK EMERGING MRKTS INDEX FUND  C
                    + BLACKROCK EQUITY INDEX FUND  C
                    + DFA U.S. MICRO CAP TRUST  C
                    + JPMCB STATEGIC PROPERTY FUND  P
                        + 1-3 YEAR GOVERNMENT CREDIT BOND IND  C
                        + BLACKROCK EAFE EQUITY INDEX FD  C
                        + BLACKROCK MSCI EMERGING MARKETS FD  C
                        + BLACKROCK R1000 GROWTH FUND  C
                        + BLACKROCK R1000 VALUE INDEX FUND  C
                        + BLACKROCK R2000 EQUITY INDEX FUND  C
                        + BLACKROCK US DEBT INCOME FUND  C
                        + INTERMEDIATE GOVERNMENT BOND INDEX  C
                        + INTERMEDIATE TERM CREDIT BOND INDEX  C
                        + LONG TERM CREDIT BOND INDEX FUND  C
                        + LONG TERM GOVERNMENT BOND INDEX FD  C
                        + MSCI EQ INDEX FD - JAPAN  C
                        + SHORT-TERM INVESTMENT FUND  C
                        + JPM US ACTIVE CORE PLUS EQUITY FUND  C
                        + JPMC CORE BOND FUND  C
                        + JPMC LONG DURATION CREDIT FUND  C
                        + JPMC LIQUIDITY FUND  C
                        + JPMC MORTGAGE PRIVATE FUND  C
                        + JPMCB INTERNATIONAL RATES FUND  C
                        + MARATHON-LONDON INTL FUND  C
                    + MARATHON-LONDON INTERNATIONAL FUND  C
                    + NTGI COLTV GOVT STIF  C
                    + PRISA  P
                    + SILCHESTER INTERNATIONAL INV INTL V  C
                    + STATE STREET MIDCAP INDEX FUND  C
                 : PR PEPSICO, INC. RETIRE PLANS TRUST  [660758419-122] M  $34,405,000
                    + BLACKROCK EAFE EQUITY INDEX  C
                    + BLACKROCK EMERGING MRKTS INDEX FUND  C
                    + BLACKROCK EQUITY INDEX FUND  C
                    + DFA U.S. MICRO CAP TRUST  C
                    + JPMCB STRATEGIC PROPERTY FUND  P
                        + 1-3 YEAR GOVERNMENT CREDIT BOND IND  C
                        + BLACKROCK EAFE EQUITY INDEX FD  C
                        + BLACKROCK MSCI EMERGING MARKETS FD  C
                        + BLACKROCK R1000 GROWTH FUND  C
                        + BLACKROCK R1000 VALUE INDEX FUND  C
                        + BLACKROCK R2000 EQUITY INDEX FUND  C
                        + BLACKROCK US DEBT INCOME FUND  C
                        + INTERMEDIATE GOVERNMENT BOND INDEX  C
                        + INTERMEDIATE TERM CREDIT BOND INDEX  C
                        + LONG TERM CREDIT BOND INDEX FUND  C
                        + LONG TERM GOVERNMENT BOND INDEX FD  C
                        + MSCI EQ INDEX FD - JAPAN  C
                        + SHORT-TERM INVESTMENT FUND  C
                        + JPM US ACTIVE CORE PLUS EQUITY FUND  C
                        + JPMC CORE BOND FUND  C
                        + JPMC LONG DURATION CREDIT FUND  C
                        + JPMC LIQUIDITY FUND  C
                        + JPMC MORTGAGE PRIVATE FUND  C
                        + JPMCB INTERNATIONAL RATES FUND  C
                        + MARATHON-LONDON INTL FUND  C
                    + MARATHON-LONDON INTERNATIONAL FUND  C
                    + NTGI COLTV GOVT STIF  C
                    + PRISA  P
                    + SILCHESTER INTERNATIONAL INVESTORS  C
                    + STATE STREET MIDCAP INDEX FUND  C
           = SUBTOTAL       $  9,166,156,000
           = OTHER          $    500,000,000
    2019    https://efast2-filings-public.s3.amazonaws.com/prd/2020/10/14/20201014210602NAL0004531491001.pdf
        Participants: 92,684  Average: $94,856
        Assets: $8,791,724,000
        Service Providers:
           - PRICE WATERHOUSECOOPERS LLP : $142,683   (Accounting(including auditing))
           - KPMG, LLP : $121,091   (Accounting(including auditing))
           - METROPOLITAN LIFE INSURANCE : $70,412   (Insurance services)
           - JOHN HANCOCK MUTUAL LIFE INS CO : $31,509   (Insurance services)
           - KILPATRICK & STOCKTON : $30,521   (Legal)
           - ACOSTA & RAMIREZ : $27,573   (Legal)
           - THOMPSON COBURN LLP : $21,069   (Legal)
           - COMMITTEE ON INVESTMENT OF EMPLOYEE : $9,586   (Consulting(general))
           - RIVER AND MERCANTILE LLC : $8,876   (Consulting(general))
           - FIDELITY INSTITUTIONAL OPERATIONS : $5,550,120   (Plan Administrator)
           - MARATHON ASSET MANAGEMENT : $2,148,509   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - NISA : $1,628,795   (Investment management fees paid directly by plan)
           - STATE STREET : $1,480,005   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - TIMES SQUARE CAPITAL MANAGEMENT LLC : $1,232,903   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - MERCER : $1,184,877   (Actuarial)
           - JENNISON ASSOCIATES : $1,176,729   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - PEPSICO, INC. : $1,066,245  EMPLOYER (Plan Administrator)
           - DODGE AND COX : $1,063,488   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - MFS INSTITUTIONAL ADVISORS : $1,022,194   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - WILLIAM BLAIR & CO : $945,546   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - JP MORGAN CHASE BANK : $941,983   (Investment management fees paid directly by plan)
           - CAMBRIDGE ADVISORY GROUP : $838,477   (Actuarial)
           - RUSSELL INVESTMENTS : $733,798   (Investment management fees paid directly by plan)
           - ALTRINSIC GLOBAL ADVISORS : $701,477   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - VONTOBEL USA INC : $531,453   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - BLACKROCK INSTITUTIONAL ADVISORS : $432,699   (Investment management fees paid directly by plan)
           - WELLINGTON MANAGEMENT CO LLP : $414,748   (Investment management fees paid directly by plan)
           - DIMENSIONAL FUND ADVISORS : $384,642   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - PGIM, INC. : $377,100   (Investment management fees paid directly by plan)
           - HEITMAN : $351,817   (Investment management fees paid directly by plan)
           - ARIEL CAPITAL : $327,393   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - NORTHERN TRUST COMPANY : $316,789   (Trustee(bank, trust company, or similar) | Recordkeeper)
           - RUSSELL IMPLEMENTATION SERVICES : $277,207   (Investment management | Securities brokerage commissions and fees)
           - LOOMIS SAYLES : $256,361   (Investment management fees paid directly by plan)
           - JAMESTOWN PREMIER PROPERTY FUND : $246,321   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - CAPITAL GUARDIAN TRUST COMPANY : $232,236   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - TOWERS WATSON INVESTMENT SERVICES : $231,733   (Consulting(pension))
           - PRUDENTIAL BANK & TRUST COMPANY : $221,979   (Investment management)
           - HEALTH AND PRODUCTIVITY CONSULTING, : $182,587   (Consulting(general))
           - WILLIS TOWERS WATSON : $161,665   (Actuarial)
           = TOTAL FEES: $27,125,196 (or $292 per partipant)
        Available Investments:
           - PEPSICO, INC.
                 : PEPSICO, INC. DB MASTER TRUST  [412205169-120] M  $8,446,081,000
                    + BLACKROCK EAFE EQUITY INDEX  C
                    + BLACKROCK EMERGING MRKTS INDEX FUND  C
                    + BLACKROCK EQUITY INDEX FUND  C
                    + DFA U.S. MICRO CAP TRUST  C
                    + JPMCB STATEGIC PROPERTY FUND  P
                        + 1-3 YEAR GOVERNMENT CREDIT BOND IND  C
                        + BLACKROCK EAFE EQUITY GROWTH INDEX  C
                        + BLACKROCK EAFE EQUITY INDEX FD  C
                        + BLACKROCK MSCI EMERGING MARKETS FD  C
                        + BLACKROCK R1000 GROWTH FUND  C
                        + BLACKROCK R1000 INDEX FUND  C
                        + BLACKROCK R1000 VALUE INDEX FUND  C
                        + BLACKROCK R2000 EQUITY INDEX FUND  C
                        + BLACKROCK US DEBT INCOME FUND  C
                        + INTERMEDIATE GOVERNMENT BOND INDEX  C
                        + INTERMEDIATE TERM CREDIT BOND INDEX  C
                        + LONG TERM CREDIT BOND INDEX FUND  C
                        + LONG TERM GOVERNMENT BOND INDEX FD  C
                        + MSCI EQ INDEX FD - JAPAN  C
                        + SHORT-TERM INVESTMENT FUND  C
                        + JPM US ACTIVE CORE PLUS EQUITY FUND  C
                        + JPMC CORE BOND FUND  C
                        + JPMC LONG DURATION CREDIT FUND  C
                        + JPMC LIQUIDITY FUND  C
                        + JPMC MORTGAGE PRIVATE FUND  C
                        + JPMCB INTERNATIONAL RATES FUND  C
                        + MARATHON-LONDON INTL FUND  C
                        + WA FLTG RATE HI INCOME FD  C
                    + MARATHON-LONDON INTERNATIONAL FUND  C
                    + NTGI COLTV GOVT STIF  C
                    + PRISA  P
                    + SILCHESTER INTERNATIONAL INV INTL V  C
                    + STATE STREET MIDCAP INDEX FUND  C
                 : PR PEPSICO, INC. RETIRE PLANS TRUST  [660758419-122] M  $20,643,000
                    + BLACKROCK EAFE EQUITY INDEX  C
                    + BLACKROCK EMERGING MRKTS INDEX FUND  C
                    + BLACKROCK EQUITY INDEX FUND  C
                    + DFA U.S. MICRO CAP TRUST  C
                    + JPMCB STRATEGIC PROPERTY FUND  P
                        + 1-3 YEAR GOVERNMENT CREDIT BOND IND  C
                        + BLACKROCK EAFE EQUITY GROWTH INDEX  C
                        + BLACKROCK EAFE EQUITY INDEX FD  C
                        + BLACKROCK MSCI EMERGING MARKETS FD  C
                        + BLACKROCK R1000 GROWTH FUND  C
                        + BLACKROCK R1000 INDEX FUND  C
                        + BLACKROCK R1000 VALUE INDEX FUND  C
                        + BLACKROCK R2000 EQUITY INDEX FUND  C
                        + BLACKROCK US DEBT INCOME FUND  C
                        + INTERMEDIATE GOVERNMENT BOND INDEX  C
                        + INTERMEDIATE TERM CREDIT BOND INDEX  C
                        + LONG TERM CREDIT BOND INDEX FUND  C
                        + LONG TERM GOVERNMENT BOND INDEX FD  C
                        + MSCI EQ INDEX FD - JAPAN  C
                        + SHORT-TERM INVESTMENT FUND  C
                        + JPM US ACTIVE CORE PLUS EQUITY FUND  C
                        + JPMC CORE BOND FUND  C
                        + JPMC LONG DURATION CREDIT FUND  C
                        + JPMC LIQUIDITY FUND  C
                        + JPMC MORTGAGE PRIVATE FUND  C
                        + JPMCB INTERNATIONAL RATES FUND  C
                        + MARATHON-LONDON INTL FUND  C
                        + WA FLTG RATE HI INCOME FD  C
                    + MARATHON-LONDON INTERNATIONAL FUND  C
                    + NTGI COLTV GOVT STIF  C
                    + PRISA  P
                    + SILCHESTER INTERNATIONAL INVESTORS  C
                    + STATE STREET MIDCAP INDEX FUND  C
           = SUBTOTAL       $  8,466,724,000
