PIERCE ATWOOD LLP | ME | PORTLAND | 010190452
COZEN O'CONNOR | PA | PHILADELPHIA | 231732832
SUNOCO, INC. | TX | HOUSTON | 231743282
UROLOGY OF CENTRAL PENNSYLVANIA, INC. | PA | CAMP HILL | 231868767
POST & SCHELL, P.C. | PA | PHILADELPHIA | 231877133
ABARTA, INC. | PA | PITTSBURGH | 231882790
STEVENS & LEE PC | PA | READING | 231886296
CARROLL ENGINEERING CORPORATION | PA | WARRINGTON | 231887522
THE VANGUARD GROUP, INC. | PA | MALVERN | 231945930
KLEHR HARRISON HARVEY BRANZBURG LLP | PA | PHILADELPHIA | 231973697
CONSOLIDATED RAIL CORPORATION | PA | PHILADELPHIA | 231989084
BERGER MONTAGUE, P.C. | PA | PHILADELPHIA | 232015918
GAP INTERNATIONAL, INC. | PA | SPRINGFIELD | 232176153
WORLD ELECTRONICS SALES & SERVICE, INC. | PA | READING | 232196733
THE GLENMEDE CORPORATION | PA | PHILADELPHIA | 232228772
VERIZON COMMUNICATIONS INC. | NJ | BASKING RIDGE | 232259884
ARAMARK MASTER TRUST | PA | PHILADELPHIA | 232319139
THE HAVERFORD TRUST COMPANY | PA | RADNOR | 232329854
SAPPI NORTH AMERICA, INC. | MA | BOSTON | 232366983
VOLPE AND KOENIG, P.C. | PA | PHILADELPHIA | 232482335
CUMMINS INC. | IN | COLUMBUS | 232662529
PROGRESSIVE PHYSICIAN ASSOCIATES, INC. | PA | BETHLEHEM | 232701565
ANESTHESIA SPECIALISTS OF BETHLEHEM, P.C. | PA | BETHLEHEM | 232748823
HANGLEY ARONCHICK SEGAL PUDLIN SCHILLER | PA | PHILADELPHIA | 232779190
TEMPLE UNIVERSITY HOSPITAL, INC. | PA | PHILADELPHIA | 232825878
UNITED ANESTHESIA SERVICES, P.C. | PA | PLYMOUTH MEETING | 232856393
PJM INTERCONNECTION L.L.C. | PA | AUDUBON | 232896884
PRIMEMED, P C | PA | SCRANTON | 232905316
ASTRAZENECA PHARMACEUTICALS LP | DE | WILMINGTON | 232967016
EXELON CORPORATION | IL | CHICAGO | 232990190
SOCIETY HILL ANESTHESIA | PA | PHILADELPHIA | 233030169
PCS RETIREMENT, LLC | DE | WILMINGTON | 233038464
PPL SERVICES CORPORATION | PA | ALLENTOWN | 233041441
VANGUARD FIDUCIARY TRUST COMPANY | PA | MALVERN | 233046114
THE GUTHRIE CLINIC | PA | SAYRE | 233055017
TALEN ENERGY SUPPLY, LLC | TX | HOUSTON | 233074920
VANGUARD FIDUCIARY TRUST COMPANY | PA | MALVERN | 233080210
PMA MEDICAL SPECIALISTS | PA | LIMERICK | 233092765
GLEN MILLS SCHOOLS | PA | CONCORDVILLE | 236437695
PNM RESOURCES, INC. | NM | ALBUQUERQUE | 236679470
DFA GROUP TRUST | TX | AUSTIN | 236819730
PRUDENTIAL TRUST COMPANY | NJ | NEWARK | 236994310
THE COMMON FUND FOR NONPROFIT ORGANIZATIONS | CT | WILTON | 237037968
CREDIT UNION NATIONAL ASSOCIATION, INC. DBA CUNA, INC. | WI | MADISON | 237065623
ELECTRIC POWER RESEARCH INSTITUTE | CA | PALO ALTO | 237175375
INTERNATIONAL CITY MANAGEMENT ASSOCIATION RETIREMENT CORPORATION | DC | WASHINGTON | 237268394
C.F. MARTIN & CO., INC. | PA | NAZARETH | 240654010
HOWMET AEROSPACE INC. | PA | PITTSBURGH | 250317820
REED SMITH LLP | PA | PITTSBURGH | 250749630
AMERISERV FINANCIAL | PA | JOHNSTOWN | 250851535
MACDONALD, ILLIG, JONES & BRITTON LLP | PA | ERIE | 250918810
K&L GATES LLP | PA | PITTSBURGH | 250921018
ECKERT SEAMANS CHERIN & MELLOTT LLC | PA | PITTSBURGH | 251056909
FEDERATED HERMES, INC. | PA | PITTSBURGH | 251111467
BAYER CORPORATION C/O HR OPERATIONS DEPARTMENT | MO | ST. LOUIS | 251339219
BUCHANAN INGERSOLL & ROONEY PC | PA | PITTSBURGH | 251381032
MARATHON OIL COMPANY | TX | HOUSTON | 251410539
VERIZON COMMUNICATIONS INC. | NJ | BASKING RIDGE | 251448208
WASHINGTON ADMINISTRATIVE SVCS | PA | WASHINGTON | 251457439
ELLWOOD QUALITY STEELS COMPANY | PA | NEW CASTLE | 251482572
RESTEK CORPORATION | PA | BELLEFONTE | 251497733
BABST CALLAND CLEMENTS AND ZOMNIR, P.C. | PA | PITTSBURGH | 251523683
PIETRAGALLO GORDON ALFANO BOSICK & RASPANTI | PA | PITTSBURGH | 251543933
AMERISERV TRUST & FINANCIAL SERVICES COMPANY | PA | JOHNSTOWN | 251689052
DOLE FOOD COMPANY, INC. | NC | CHARLOTTE | 251695814
QUANTUM IMAGING & THERAPEUTIC ASSOCIATES, INC. | PA | LEWISBERRY | 251792806
ROCKWELL AUTOMATION CORPORATION | WI | MILWAUKEE | 251797617
THE BANK OF NEW YORK MELLON | PA | PITTSBURGH | 251844930
THE BANK OF NEW YORK MELLON | PA | PITTSBURGH | 251849936
THE BANK OF NEW YORK MELLON | PA | PITTSBURGH | 251849937
THE BANK OF NEW YORK MELLON | PA | PITTSBURGH | 251849938
KOA SPEER ELECTRONICS, INC. | PA | BRADFORD | 251867087
TOTALENERGIES FINANCE USA, INC. | TX | HOUSTON | 251883252
UNITED STATES STEEL CORPORATION AND AFFILIATED COS. | PA | PITTSBURGH | 251897152
THE BANK OF NEW YORK MELLON | PA | PITTSBURGH | 256078093
ATI INC. | PA | PITTSBURGH | 256224599
THE BANK OF NEW YORK MELLON | PA | PITTSBURGH | 256254705
KOCH INDUSTRIES, INC. | KS | WICHITA | 256263968
BAYER CORPORATION | MO | ST LOUIS | 256263993
DOMINION ENERGY, INC. | VA | RICHMOND | 256263994
DTE ENERGY CORPORATE SERVICES, LLC | MI | DETROIT | 256264027
STATE STREET BANK & TRUST COMPANY | MA | QUINCY | 256295264
THE BANK OF NEW YORK MELLON | PA | PITTSBURGH | 256297127
EVERSOURCE ENERGY SERVICE COMPANY | CT | HARTFORD | 256365444
ELECTROLUX HOME PRODUCTS, INC. | NC | CHARLOTTE | 256380595
THE BANK OF NEW YORK MELLON | PA | PITTSBURGH | 256383983
DIAGEO NORTH AMERICA, INC. | NY | NEW YORK | 256384048
THE BANK OF NEW YORK MELLON | PA | PITTSBURGH | 256774884
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 260001051
PVH CORP. | NJ | BRIDGEWATER | 260075089
AON CORPORATION | IL | LINCOLNSHIRE | 260085732
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 260127386
RHUMBLINE ADVISERS CORP. | MO | KANSAS CITY | 260137355
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 260142858
OAKTREE CAPITAL MANAGEMENT, LP | CA | LOS ANGELES | 260189082
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 260199869
SEI TRUST COMPANY | PA | OAKS | 260232928
SAVANNAH RIVER NUCLEAR SOLUTIONS, LLC | SC | AIKEN | 260240191
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 260257765
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 260257826
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 260257888
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 260257911
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 260257940
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 260257981
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 260258007
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 260258032
WELLINGTON TRUST COMPANY, NA | MA | BOSTON | 260263112
SUCCESSOR TRUSTEES OF THE THA PDRP FOR MEMB. HOSP. GROUP TRUST | TX | AUSTIN | 260303970
CAUSEWAY CAPITAL MANAGEMENT LLC | MO | KANSAS CITY | 260317998
OHIO ANESTHESIA GROUP, INC. | OH | CANTON | 260347451
JPMORGAN CHASE BANK, N.A | NY | NEW YORK | 260356040
WELLINGTON TRUST COMPANY, NA | MA | BOSTON | 260356102
RENAISSANCE TECHNOLOGIES LLC | NY | NEW YORK | 260385758
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 260401502
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 260403015
WESTERN ASSET MANAGEMENT COMPANY, LLC | CA | PASADENA | 260567600
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 260719768
BELL ASSET MANAGEMENT LTD. | MO | KANSAS CITY | 260733642
PUTNAM FIDUCIARY TRUST COMPANY LLC | MA | BOSTON | 260787670
PUTNAM FIDUCIARY TRUST COMPANY, LLC | MA | BOSTON | 260787945
PUTNAM FIDUCIARY TRUST COMPANY, LLC | MA | BOSTON | 260788040
PUTNAM FIDUCIARY TRUST COMPANY, LLC | MA | BOSTON | 260788428
SEI TRUST COMPANY | PA | OAKS | 260819611
SEI TRUST COMPANY | PA | OAKS | 260819704
SEI TRUST COMPANY | PA | OAKS | 260819763
S&P GLOBAL, INC. | NY | NEW YORK | 260821335
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 260834000
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 260896020
PUTNAM INVESTMENTS, LLC | MA | BOSTON | 261080669
WESTERN ASSET MANAGEMENT COMPANY, LLC | CA | PASADENA | 261115895
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 261164871
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 261165037
THRYV HOLDINGS, INC. | TX | DFW AIRPORT | 261165152
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 261165154
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 261165198
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 261165348
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 261165392
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 261165449
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 261165477
PUTNAM FIDUCIARY TRUST COMPANY LLC | MA | BOSTON | 261208510
ADAMS STREET PARTNERS, LLC | IL | CHICAGO | 261268403
ADAMS STREET PARTNERS, LLC | IL | CHICAGO | 261268649
DANA LIMITED | OH | MAUMEE | 261318190
BROWNSTEIN HYATT FARBER SCHRECK LLP | CO | DENVER | 261367865
PUTNAM FIDUCIARY TRUST COMPANY, LLC | MA | BOSTON | 261384344
PUTNAM FIDUCIARY TRUST COMPANY, LLC | MA | BOSTON | 261384398
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 261397584
TRADEWEB MARKETS LLC | NY | NEW YORK | 261429475
WESTERN ASSET MANAGEMENT COMPANY, LLC | CA | PASADENA | 261592491
HUSCH BLACKWELL LLP | MO | KANSAS CITY | 261688286
SEI TRUST COMPANY | PA | OAKS | 261726524
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 261928760
SEI TRUST COMPANY | PA | OAKS | 261933300
SEI TRUST COMPANY | PA | OAKS | 262148925
SEI TRUST COMPANY | PA | OAKS | 262149362
OAKTREE CAPITAL MANAGEMENT, L.P. | CA | LOS ANGELES | 262180715
TE CONNECTIVITY CORPORATION | PA | BERWYN | 262342851
PUTNAM FIDUCIARY TRUST COMPANY, LLC | MA | BOSTON | 262407878
SEI TRUST COMPANY | PA | OAKS | 262447110
EARNEST PARTNERS, LLC | GA | ATLANTA | 262475280
SEI TRUST COMPANY | PA | OAKS | 262511180
GOLDMAN SACHS PEP X ADVISORS, LLC | NY | NEW YORK | 262610183
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 262628381
SEI TRUST COMPANY | PA | OAKS | 262726262
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 262773120
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 262773166
HIRTLE, CALLAGHAN & CO., LLC | PA | WEST CONSHOHOCKEN | 262821689
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 262882162
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 262970193
SEI TRUST COMPANY | PA | OAKS | 263015340
TLC INVESTMENTS LLC | TN | MADISON | 263017292
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 263073550
DOOSAN BOBCAT NORTH AMERICA, INC. | ND | WEST FARGO | 263077746
COLGATE-PALMOLIVE COMPANY | NY | NEW YORK | 263205775
ADAMS STREET PARTNERS, LLC | IL | CHICAGO | 263265104
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 263275041
ADAMS STREET PARTNERS, LLC | IL | CHICAGO | 263337918
ADAMS STREET PARTNERS, LLC | IL | CHICAGO | 263338089
ADAMS STREET PARTNERS, LLC | IL | CHICAGO | 263338182
PROLOAN BOND FUND, LLC | VA | RICHMOND | 263436991
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 263467461
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 263467496
SANOFI-AVENTIS US LLC | NJ | BRIDGEWATER | 263494110
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 263506969
SEI TRUST COMPANY | PA | OAKS | 263653822
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 263689229
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 263695792
KRATON CORPORATION | TX | HOUSTON | 263739386
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 263763061
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 263770058
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 263770208
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 263770263
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 263770302
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 263773730
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 263773846
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 263774255
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 263774399
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 263774476
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 263783319
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 263783342
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 263783354
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 263783374
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 263783383
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 263783561
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 263783639
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 263783650
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 263783687
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 263783748
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 263783757
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 263783868
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 263783871
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 263783885
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 263783890
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 263783916
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 263783919
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 263797251
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 263816145
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 263816235
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 263832702
HIGHCLERE INTERNATIONAL INVESTORS |  |  | 263835870
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 263840686
LEXINGTON PARTNERS L.P. | NY | NEW YORK | 263860011
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 263897543
VIRTUS INVESTMENT PARTNERS, INC. | CT | HARTFORD | 263962811
YORK CAPITAL MANAGEMENT (US) ADVISORS, L.P. | NY | NEW YORK | 263971819
WESTON FOODS US HOLDINGS, INC. | IN | BROWNSBURG | 264000376
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 264019464
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 264020456
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 264020542
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 264020637
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 264020715
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 264020794
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 264020887
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 264040281
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 264040376
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 264040482
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 264040552
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 264086131
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 264149955
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 264150003
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 264150063
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 264273359
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 264278406
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 264299445
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 264299518
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 264299570
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 264370024
SEI TRUST COMPANY | PA | OAKS | 264377500
THE BANK OF NEW YORK MELLON CORPORATION | PA | PITTSBURGH | 264392425
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 264558648
ADVANCED TECHNOLOGY HOLDING, LLC | VA | RESTON | 264662192
SEI TRUST COMPANY | PA | OAKS | 264757392
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 264835263
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 264835327
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 266149812
SABIC INNOVATIVE PLASTICS US LLC | TX | HOUSTON | 266187012
NORTHERN TRUST INVESTMENTS, INC. | IL | CHICAGO | 266380133
NORTHERN TRUST INVESTMENTS, INC. | IL | CHICAGO | 266380149
STATE STREET BANK & TRUST COMPANY | MA | QUINCY | 266389533
INVESCO TRUST COMPANY | GA | ATLANTA | 266399613
NORTHERN TRUST INVESTMENTS, INC. | IL | CHICAGO | 266411809
LAWRENCE LIVERMORE NAT'L SECURITY, LLC AND TRIAD NAT'L SECURITY, LLC | NM | LOS ALAMOS | 266431956
PRINCIPAL GLOBAL INVESTORS TRUST COMPANY | OR | PORTLAND | 266447574
HARDMAN JOHNSTON GLOBAL ADVISORS LLC | CT | STAMFORD | 266493485
RESOLUTE FP US, INC. |  |  | 266523081
NORTHERN TRUST INVESTMENTS, INC. | IL | CHICAGO | 266566721
RUSSELL INVESTMENTS TRUST COMPANY | WA | SEATTLE | 266609096
COOPER-STANDARD AUTOMOTIVE INC. | MI | NORTHVILLE | 266611154
MERCER TRUST COMPANY LLC | MA | BOSTON | 266700496
MARATHON ASSET MANAGEMENT LIMITED | IL | CHICAGO | 266734206
PRINCIPAL GLOBAL INVESTORS TRUST COMPANY | OR | PORTLAND | 266746540
GLOBAL TRUST COMPANY | MA | WOBURN | 266773274
KNIGHTS OF COLUMBUS SUPREME COUNCIL | CT | NEW HAVEN | 266780275
ANESTHESIA MANAGEMENT SERVICES, P. C. | MI | COMMERCE TOWNSHIP | 270002040
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 270063616
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 270184174
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 270256663
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 270306770
WILMINGTON TRUST, N.A. | DE | WILMINGTON | 270346289
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 270347886
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 270347973
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 270382964
GENERAL MOTORS LLC | MI | DETROIT | 270383222
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 270421509
DEAN FOODS COMPANY | NJ | SADDLE BROOK | 270459175
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 270471136
STROOCK & STROOCK & LAVAN LLP | NY | NEW YORK | 270514546
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 270535593
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 270535692
SEI TRUST COMPANY | PA | OAKS | 270573048
KOCH INDUSTRIES, INC. | KS | WICHITA | 270627941
HARDING LOEVNER LP | NJ | BRIDGEWATER | 270684167
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 270739786
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 270739802
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 270766892
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 270772359
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 270793907
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 270794016
SEI TRUST COMPANY | PA | OAKS | 270834899
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 270862122
WILMINGTON TRUST, NATIONAL ASSOCIATION | DE | WILMINGTON | 270951154
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 270966389
SEI TRUST COMPANY | PA | OAKS | 270977453
ADAMS STREET PARTNERS, LLC | IL | CHICAGO | 271058929
ADAMS STREET PARTNERS, LLC | IL | CHICAGO | 271058992
ADAMS STREET PARTNERS, LLC | IL | CHICAGO | 271059255
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 271149487
MLM INDEX FUND | PA | NEWTOWN | 271198002
AMERICAN SECURITIES LLC | NY | NEW YORK | 271486827
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 271518568
HORMEL FOODS CORPORATION | MN | AUSTIN | 271536054
WELLINGTON TRUST COMPANY, NA | MA | BOSTON | 271593162
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 271620812
ARCHER DANIELS MIDLAND COMPANY | IL | DECATUR | 271701181
ARCHER DANIELS MIDLAND COMPANY | IL | DECATUR | 271701330
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 271709876
BURLINGTON NORTHERN SANTA FE, LLC | TX | FORT WORTH | 271754839
IR&M CORE BOND FUND II LLC C/O INCOME RESEARCH & MANAGEMENT | MA | BOSTON | 271803513
IR&M INTERMEDIATE FUND LLC C/O INCOME RESEARCH & MANAGEMENT | MA | BOSTON | 271810883
INVESCO TRUST COMPANY | GA | ATLANTA | 271980766
NEWPORT GROUP, INC. | CA | WALNUT CREEK | 272037969
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 272050190
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 272050259
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 272050324
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 272094771
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 272094855
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 272094921
MAHLE BEHR USA INC. | MI | TROY | 272279355
CITY OF HOPE MEDICAL GROUP, INC. | CA | DUARTE | 272294296
SEI TRUST COMPANY | PA | OAKS | 272402927
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 272470604
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 272500178
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 272531932
WELLINGTON TRUST COMPANY, NA | MA | BOSTON | 272594633
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 272659367
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 272777161
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 272889064
WELLINGTON TRUST COMPANY, NA | MA | BOSTON | 272918974
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 273033195
SEI TRUST COMPANY | PA | OAKS | 273224429
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 273227381
MONDRIAN INVESTMENT GROUP US, INC. | DE | WILMINGTON | 273305172
CHEVY CHASE TRUST COMPANY | MD | BETHESDA | 273350609
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 273359978
SEI TRUST COMPANY | PA | OAKS | 273441498
EATON VANCE TRUST COMPANY | IL | CHICAGO | 273522290
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 273584126
PUTNAM FIDUCIARY TRUST COMPANY LLC | MA | BOSTON | 273616920
WELLINGTON TRUST COMPANY, NA | MA | BOSTON | 273649481
ADAMS STREET PARTNERS, LLC | IL | CHICAGO | 273682668
ADAMS STREET PARTNERS, LLC | IL | CHICAGO | 273683054
ADAMS STREET PARTNERS, LLC | IL | CHICAGO | 273683721
RETAIL BUSINESS SERVICES LLC | PA | CARLISLE | 273756754
HUNTINGTON INGALLS INDUSTRIES, INC. | VA | NEWPORT NEWS | 273776787
INVESCO ASSET MANAGEMENT | GA | ATLANTA | 273783895
INVESCO TRUST COMPANY | GA | ATLANTA | 273868124
INVESCO TRUST COMPANY | GA | ATLANTA | 273884161
CORNERSTONE CHEMICAL COMPANY | LA | WAGGAMAN | 273966965
CTC TRADING GROUP, LLC | IL | CHICAGO | 273972658
GLOBAL TRUST COMPANY | MA | WOBURN | 274085435
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 274255853
LAZARD EMERGING MARKETS TOTAL RETURN DEBT FUND (U.S.), LP | NY | NEW YORK | 274311229
NUVEEN ASSET MANAGEMENT, LLC | NC | CHARLOTTE | 274357327
